,ticker
0,VMK
1,FUCTVGF3
2,FUEIP100
3,FUEKIV30
4,FUCTVGF4
5,FUEDCMID
6,FUEKIVFS
7,FUEMAVND
8,FUEFCV50
9,FUEBFVND
10,FUCTVGF5
11,D17
12,CIA
13,CRC
14,CSC
15,SGP
16,CSM
17,CSV
18,CT3
19,CT6
20,CTA
21,CTB
22,CTC
23,CTD
24,CTF
25,CTG
26,GTS
27,CTI
28,ICT
29,CTN
30,DSV
31,DTA
32,BDT
33,DTC
34,DTE
35,DTI
36,DTL
37,DTT
38,DTV
39,MTV
40,MGG
41,DVC
42,DVG
43,DVP
44,DSG
45,DVW
46,DXG
47,DXL
48,DXP
49,DXS
50,DXV
51,DZM
52,FUESSV50
53,E1VFVN30
54,EBS
55,E29
56,ECI
57,EFI
58,EIB
59,EID
60,ELC
61,EME
62,EMG
63,EMS
64,EPC
65,FUESSVFL
66,EVE
67,EVG
68,EVF
69,EIC
70,LEC
71,FHS
72,ROS
73,FBA
74,FCM
75,FCN
76,FDC
77,FIC
78,FID
79,FIR
80,FSO
81,FIT
82,FLC
83,ART
84,FMC
85,FOC
86,FBC
87,FCS
88,FRM
89,DP3
90,FTM
91,FPT
92,FRT
93,FTS
94,FRC
95,FT1
96,FOX
97,FTI
98,FUESSV30
99,FUEVN100
100,FUCVREIT
