trading_time,ticker,price,volume,last_one_minute_price,last_one_minute_volume,last_two_minutes_price,last_two_minutes_volume,last_three_minutes_price,last_three_minutes_volume,last_four_minutes_price,last_four_minutes_volume,last_five_minutes_price,last_five_minutes_volume,next_one_minute_price,next_five_minutes_price
2024-05-02 09:16:00,ACB,26900,77500,0,0,0,0,0,0,0,0,0,0,26850,26850
2024-05-02 09:17:00,ACB,26850,1100,26900,77500,0,0,0,0,0,0,0,0,26850,26850
2024-05-02 09:18:00,ACB,26850,20000,26850,1100,26900,77500,0,0,0,0,0,0,26850,26850
2024-05-02 09:19:00,ACB,26850,18500,26850,20000,26850,1100,26900,77500,0,0,0,0,26850,26850
2024-05-02 09:20:00,ACB,26850,600,26850,18500,26850,20000,26850,1100,26900,77500,0,0,26850,26850
2024-05-02 09:21:00,ACB,26850,3500,26850,600,26850,18500,26850,20000,26850,1100,26900,77500,26850,26850
2024-05-02 09:22:00,ACB,26850,800,26850,3500,26850,600,26850,18500,26850,20000,26850,1100,26850,26850
2024-05-02 09:23:00,ACB,26850,46300,26850,800,26850,3500,26850,600,26850,18500,26850,20000,26850,26800
2024-05-02 09:24:00,ACB,26850,30900,26850,46300,26850,800,26850,3500,26850,600,26850,18500,26850,26800
2024-05-02 09:25:00,ACB,26850,17700,26850,30900,26850,46300,26850,800,26850,3500,26850,600,26850,26850
2024-05-02 09:26:00,ACB,26850,7900,26850,17700,26850,30900,26850,46300,26850,800,26850,3500,26850,26850
2024-05-02 09:27:00,ACB,26850,6700,26850,7900,26850,17700,26850,30900,26850,46300,26850,800,26800,26850
2024-05-02 09:28:00,ACB,26800,5000,26850,6700,26850,7900,26850,17700,26850,30900,26850,46300,26800,26850
2024-05-02 09:29:00,ACB,26800,2800,26800,5000,26850,6700,26850,7900,26850,17700,26850,30900,26850,26850
2024-05-02 09:30:00,ACB,26850,11000,26800,2800,26800,5000,26850,6700,26850,7900,26850,17700,26850,26850
2024-05-02 09:31:00,ACB,26850,2300,26850,11000,26800,2800,26800,5000,26850,6700,26850,7900,26850,26850
2024-05-02 09:32:00,ACB,26850,600,26850,2300,26850,11000,26800,2800,26800,5000,26850,6700,26850,26850
2024-05-02 09:33:00,ACB,26850,200,26850,600,26850,2300,26850,11000,26800,2800,26800,5000,26850,26900
2024-05-02 09:34:00,ACB,26850,9400,26850,200,26850,600,26850,2300,26850,11000,26800,2800,26850,26900
2024-05-02 09:35:00,ACB,26850,200,26850,9400,26850,200,26850,600,26850,2300,26850,11000,26850,26900
2024-05-02 09:36:00,ACB,26850,20300,26850,200,26850,9400,26850,200,26850,600,26850,2300,26850,26900
2024-05-02 09:37:00,ACB,26850,5200,26850,20300,26850,200,26850,9400,26850,200,26850,600,26900,26900
2024-05-02 09:38:00,ACB,26900,24400,26850,5200,26850,20300,26850,200,26850,9400,26850,200,26900,26900
2024-05-02 09:39:00,ACB,26900,1400,26900,24400,26850,5200,26850,20300,26850,200,26850,9400,26900,26950
