trading_time,ticker,price,volume,last_one_minute_price,last_one_minute_volume,last_two_minutes_price,last_two_minutes_volume,last_three_minutes_price,last_three_minutes_volume,last_four_minutes_price,last_four_minutes_volume,last_five_minutes_price,last_five_minutes_volume,next_one_minute_price,next_five_minutes_price
2024-04-26 09:16:00,ACB,26750,12300,0,0,0,0,0,0,0,0,0,0,26800,26750
2024-04-26 09:17:00,ACB,26800,1200,26750,12300,0,0,0,0,0,0,0,0,26800,26750
2024-04-26 09:18:00,ACB,26800,20000,26800,1200,26750,12300,0,0,0,0,0,0,26750,26800
2024-04-26 09:19:00,ACB,26750,1000,26800,20000,26800,1200,26750,12300,0,0,0,0,26700,26800
2024-04-26 09:20:00,ACB,26700,30200,26750,1000,26800,20000,26800,1200,26750,12300,0,0,26750,26750
2024-04-26 09:21:00,ACB,26750,8600,26700,30200,26750,1000,26800,20000,26800,1200,26750,12300,26750,26750
2024-04-26 09:22:00,ACB,26750,16100,26750,8600,26700,30200,26750,1000,26800,20000,26800,1200,26800,26750
2024-04-26 09:23:00,ACB,26800,7700,26750,16100,26750,8600,26700,30200,26750,1000,26800,20000,26800,26750
2024-04-26 09:24:00,ACB,26800,1200,26800,7700,26750,16100,26750,8600,26700,30200,26750,1000,26750,26700
2024-04-26 09:25:00,ACB,26750,8500,26800,1200,26800,7700,26750,16100,26750,8600,26700,30200,26750,26700
2024-04-26 09:26:00,ACB,26750,12200,26750,8500,26800,1200,26800,7700,26750,16100,26750,8600,26750,26750
2024-04-26 09:27:00,ACB,26750,47000,26750,12200,26750,8500,26800,1200,26800,7700,26750,16100,26750,26700
2024-04-26 09:28:00,ACB,26750,10500,26750,47000,26750,12200,26750,8500,26800,1200,26800,7700,26700,26700
2024-04-26 09:29:00,ACB,26700,8700,26750,10500,26750,47000,26750,12200,26750,8500,26800,1200,26700,26700
2024-04-26 09:30:00,ACB,26700,13000,26700,8700,26750,10500,26750,47000,26750,12200,26750,8500,26750,26750
2024-04-26 09:31:00,ACB,26750,3000,26700,13000,26700,8700,26750,10500,26750,47000,26750,12200,26700,26750
2024-04-26 09:32:00,ACB,26700,11200,26750,3000,26700,13000,26700,8700,26750,10500,26750,47000,26700,26700
2024-04-26 09:33:00,ACB,26700,4900,26700,11200,26750,3000,26700,13000,26700,8700,26750,10500,26700,26700
2024-04-26 09:34:00,ACB,26700,1500,26700,4900,26700,11200,26750,3000,26700,13000,26700,8700,26750,26750
2024-04-26 09:35:00,ACB,26750,2500,26700,1500,26700,4900,26700,11200,26750,3000,26700,13000,26750,26750
2024-04-26 09:36:00,ACB,26750,6600,26750,2500,26700,1500,26700,4900,26700,11200,26750,3000,26700,26750
2024-04-26 09:37:00,ACB,26700,5900,26750,6600,26750,2500,26700,1500,26700,4900,26700,11200,26700,26700
2024-04-26 09:38:00,ACB,26700,3100,26700,5900,26750,6600,26750,2500,26700,1500,26700,4900,26750,26650
2024-04-26 09:39:00,ACB,26750,2000,26700,3100,26700,5900,26750,6600,26750,2500,26700,1500,26750,26700
2024-04-26 09:40:00,ACB,26750,6800,26750,2000,26700,3100,26700,5900,26750,6600,26750,2500,26750,26700
2024-04-26 09:41:00,ACB,26750,18300,26750,6800,26750,2000,26700,3100,26700,5900,26750,6600,26700,26750
2024-04-26 09:42:00,ACB,26700,26300,26750,18300,26750,6800,26750,2000,26700,3100,26700,5900,26650,26650
2024-04-26 09:43:00,ACB,26650,34400,26700,26300,26750,18300,26750,6800,26750,2000,26700,3100,26700,26700
2024-04-26 09:44:00,ACB,26700,26500,26650,34400,26700,26300,26750,18300,26750,6800,26750,2000,26700,26650
2024-04-26 09:45:00,ACB,26700,15500,26700,26500,26650,34400,26700,26300,26750,18300,26750,6800,26750,26650
2024-04-26 09:46:00,ACB,26750,11500,26700,15500,26700,26500,26650,34400,26700,26300,26750,18300,26650,26650
2024-04-26 09:47:00,ACB,26650,30700,26750,11500,26700,15500,26700,26500,26650,34400,26700,26300,26700,26650
2024-04-26 09:48:00,ACB,26700,18800,26650,30700,26750,11500,26700,15500,26700,26500,26650,34400,26650,26650
2024-04-26 09:49:00,ACB,26650,36900,26700,18800,26650,30700,26750,11500,26700,15500,26700,26500,26650,26700
2024-04-26 09:50:00,ACB,26650,20900,26650,36900,26700,18800,26650,30700,26750,11500,26700,15500,26650,26600
2024-04-26 09:51:00,ACB,26650,19600,26650,20900,26650,36900,26700,18800,26650,30700,26750,11500,26650,26600
2024-04-26 09:52:00,ACB,26650,14300,26650,19600,26650,20900,26650,36900,26700,18800,26650,30700,26650,26650
2024-04-26 09:53:00,ACB,26650,7700,26650,14300,26650,19600,26650,20900,26650,36900,26700,18800,26700,26650
2024-04-26 09:54:00,ACB,26700,38600,26650,7700,26650,14300,26650,19600,26650,20900,26650,36900,26600,26650
2024-04-26 09:55:00,ACB,26600,33000,26700,38600,26650,7700,26650,14300,26650,19600,26650,20900,26600,26650
2024-04-26 09:56:00,ACB,26600,26500,26600,33000,26700,38600,26650,7700,26650,14300,26650,19600,26650,26700
2024-04-26 09:57:00,ACB,26650,47100,26600,26500,26600,33000,26700,38600,26650,7700,26650,14300,26650,26650
2024-04-26 09:58:00,ACB,26650,29500,26650,47100,26600,26500,26600,33000,26700,38600,26650,7700,26650,26750
2024-04-26 09:59:00,ACB,26650,6800,26650,29500,26650,47100,26600,26500,26600,33000,26700,38600,26650,26750
2024-04-26 10:01:00,ACB,26650,6800,26650,6800,26650,29500,26650,47100,26600,26500,26600,33000,26700,26750
2024-04-26 10:02:00,ACB,26700,14900,26650,6800,26650,6800,26650,29500,26650,47100,26600,26500,26650,26750
